name,downloads
nldates-obsidian,118134
hotkeysplus-obsidian,47944
obsidian-git,162600
url-into-selection,85012
sliding-panes-obsidian,221009
cm-show-whitespace-obsidian,7511
table-editor-obsidian,371771
leader-hotkeys-obsidian,2747
slated-obsidian,13306
recent-files-obsidian,69172
ledger-obsidian,3332
note-refactor-obsidian,78058
calendar,326615
mrj-text-expand,13894
mrj-jump-to-link,8005
obsidian-reading-time,20894
todoist-sync-plugin,21319
obsidian-vimrc-support,22148
shortcuts-extender,7661
mrj-crosslink-between-notes,4374
darlal-switcher-plus,36313
obsidian-day-planner,113464
cm-editor-syntax-highlight-obsidian,109263
review-obsidian,30230
obsidian-hider,45615
obsidian-minimal-settings,155657
obsidian-system-dark-mode,10242
obsidian-discordrpc,4556
templater-obsidian,229192
convert-url-to-iframe,25890
code-block-copy,71983
searchpp,1917
better-word-count,81768
workbench-obsidian,14011
obsidian-latex-environments,9257
obsidian-rtl,5256
markdown-prettifier,45236
css-snippets,3600
obsidian-link-indexer,2689
macOS-keyboard-nav-obsidian,2562
extract-highlights-plugin,9536
find-unlinked-files,54781
wikilinks-to-mdlinks-obsidian,5968
smart-random-note,12425
cycle-through-panes,30823
music-code-blocks,3456
cm-typewriter-scroll-obsidian,22515
obsidian-youglish-plugin,1951
obsidian-dangling-links,5477
dangerzone-writing-plugin,2577
maximise-active-pane-obsidian,8032
obsidian-juliandate,570
obsidian-emoji-toolbar,79604
obsidian-fullscreen-plugin,16416
footlinks,5588
obsidian-mind-map,156717
flashcards-obsidian,16289
completed-area,2194
obsidian-citation-plugin,61237
obsidian-to-anki-plugin,25456
obsidian-rollover-daily-todos,25221
obsidian-reveal-active-file,6601
obsidian-export-to-tex,2505
obsidian-latex,7444
obsidian-apple-reminders-plugin,1532
obsidian-contextual-typography,19619
neo4j-graph-view,3121
snippets,1486
obsidian-temple,1045
obsidian-relative-line-numbers,5329
obsidian-charts,45852
discordian-plugin,4950
obsidian-autocomplete-plugin,14432
completed-task-display,2637
obsidian-extract-pdf-highlights,35497
youhavebeenstaring-plugin,928
obsidian-metatemplates,1784
obsidian-query2table,945
obsidian-imgur-plugin,8692
obsidian-checklist-plugin,110082
obsidian-text-expander,4625
search-on-internet,11770
obsidian-file-path-to-uri,6654
page-heading-from-links,2188
obsidian-icons-plugin,31062
folder-note-plugin,32493
vantage-obsidian,12860
obsidian-sort-and-permute-lines,10815
obsidian-min3ditorhotkeys-plugin,516
obsidian-jsonifier,685
things-logbook,2519
obsidian-shortcuts-for-starred-files,1687
obsidian-filename-heading-sync,17873
obsidian-orthography,3420
obsidian-query-language,4536
obsidian-markdown-formatting-assistant-plugin,21365
obsidian-journey-plugin,9855
tag-wrangler,101234
better-pdf-plugin,19350
dataview,318234
periodic-notes,77628
obsidian-show-file-path,12442
obsidian-paper-cut,592
obsidian-comments,5581
ini-obsidian,319
various-complements,25590
obsidian-timelines,21472
txt-as-md-obsidian,4748
note-folder-autorename,4799
daily-activity,5010
obsidian-daily-stats,4300
open-note-to-window-title,6579
meld-encrypt,11920
obsidian-vault-statistics-plugin,9441
obsidian-plugin-todo,24467
obsidian-hotkeys-for-specific-files,2684
csv-obsidian,6564
obsidian-plugin-toc,20736
mochi-cards-exporter,731
obsidian-plugin-prettier,3877
obsidian-furigana,487
obsidian-vault-changelog,462
chesser-obsidian,1824
obsidian-activity-history,7128
obsidian-chessboard,726
obsidian-footnotes,21479
obsidian-gallery,9344
notetweet,1317
code-block-from-selection,3024
format-hotkeys-obsidian,1698
obsidian-leaflet-plugin,24265
remember-cursor-position,16224
pane-relief,32053
DEVONlink-obsidian,3109
hotkey-helper,17983
text-snippets-obsidian,9108
