name,downloads,downloads_2022-08-26,created_at,updated_at,"[2022-08-26, 2022-09-11]"
Amethyst,5143.0,4773.0,2020-05-12T04:08:15Z,2022-08-17T04:52:40Z,370.0
Atom,83736.0,78189.0,2020-06-05T08:00:51Z,2022-08-25T15:12:53Z,5547.0
Obsidian gruvbox,26648.0,24753.0,2020-04-24T19:43:04Z,2022-08-16T18:22:58Z,1895.0
Warmth,2.0,,,,
Gastown,3019.0,2862.0,2020-05-13T17:16:41Z,2022-07-26T21:55:13Z,157.0
80s Neon,32440.0,30384.0,2020-05-12T00:23:25Z,2022-08-03T18:17:00Z,2056.0
Notation,25691.0,24048.0,2020-05-27T01:21:15Z,2022-08-25T16:29:39Z,1643.0
Solarized,17996.0,16820.0,2020-05-16T16:21:39Z,2022-08-17T04:52:25Z,1176.0
Christmas,2175.0,2060.0,2020-06-05T06:36:33Z,2022-08-05T22:50:53Z,115.0
Red Graphite,15345.0,14349.0,2020-05-29T03:39:59Z,2022-08-14T17:07:43Z,996.0
Shimmering Focus,36964.0,35381.0,2021-08-27T19:23:29Z,2022-08-23T19:14:14Z,1583.0
Lizardmen Zettelkasten,3762.0,3561.0,2020-06-09T17:19:40Z,2022-07-09T08:19:10Z,201.0
Golden Coffee,7220.0,7098.0,2021-08-03T10:21:41Z,2022-07-14T09:30:39Z,122.0
Moonlight,6210.0,5792.0,2020-05-24T02:24:17Z,2022-07-13T20:57:39Z,418.0
Minimal,212387.0,197769.0,2020-07-26T00:52:24Z,2022-08-26T18:08:28Z,14618.0
Ursa,4388.0,4136.0,2020-05-16T02:23:24Z,2022-08-03T02:06:22Z,252.0
Subtlegold,3660.0,3417.0,2020-05-29T13:22:43Z,2022-06-08T23:07:00Z,243.0
Obsidian Boom,2358.0,2202.0,2020-05-23T11:23:35Z,2021-11-08T09:58:33Z,156.0
Traffic Lights,4890.0,4604.0,2020-06-18T09:20:41Z,2022-08-03T02:05:22Z,286.0
Ars Magna,15493.0,14549.0,2020-07-02T02:47:16Z,2022-08-15T14:40:17Z,944.0
Obsdn-Dark-Rmx,6175.0,5847.0,2020-06-20T14:12:31Z,2022-07-25T04:35:21Z,328.0
obsidian_ia,9619.0,8987.0,2020-08-25T05:01:09Z,2022-08-10T06:26:23Z,632.0
Ayu,2342.0,2203.0,2020-08-26T12:19:04Z,2022-02-13T11:00:12Z,139.0
GDCT,1916.0,1797.0,2020-08-26T12:20:46Z,2022-02-13T11:00:33Z,119.0
Obuntu,14339.0,13371.0,2020-09-04T18:20:39Z,2022-07-27T11:39:24Z,968.0
Ono Sendai,13343.0,12367.0,2020-09-03T04:31:38Z,2022-06-18T12:08:43Z,976.0
Blue Topaz,127261.0,119974.0,2020-10-01T05:10:38Z,2022-08-26T15:32:54Z,7287.0
Reverie,7055.0,6563.0,2020-10-08T16:22:01Z,2022-03-10T09:08:43Z,492.0
Dark Graphite Pie,4197.0,3935.0,2020-10-18T10:49:03Z,2022-05-29T01:35:45Z,262.0
Gitsidian,8526.0,8038.0,2020-11-01T23:37:10Z,2022-08-11T07:03:53Z,488.0
Molecule,3605.0,3362.0,2020-11-08T10:39:48Z,2022-08-07T12:30:56Z,243.0
Suddha,3743.0,3516.0,2020-11-23T00:53:08Z,2022-08-11T03:33:34Z,227.0
California Coast,52875.0,50001.0,2020-12-13T23:24:11Z,2022-08-26T13:58:41Z,2874.0
Al Dente,2972.0,2791.0,2020-09-11T14:27:42Z,2022-07-12T18:29:13Z,181.0
Wasp,39703.0,37057.0,2020-05-18T23:18:20Z,2022-05-25T02:20:56Z,2646.0
Big Sur Aesthetic,34258.0,32074.0,2021-02-04T20:20:28Z,2022-08-03T01:56:32Z,2184.0
Higlighter,3168.0,2968.0,2020-11-16T07:55:29Z,2022-07-05T07:03:02Z,200.0
ITS Theme,26906.0,25168.0,2021-01-30T12:03:12Z,2022-08-26T08:19:12Z,1738.0
Spectrum,14727.0,13815.0,2021-02-07T19:10:40Z,2022-08-11T03:21:46Z,912.0
Yin and Yang,84643.0,79696.0,2021-10-14T12:29:50Z,2022-08-17T06:47:32Z,4947.0
Golden Topaz,10876.0,10139.0,2021-05-19T19:34:44Z,2022-08-17T01:08:23Z,737.0
Pink Topaz,10999.0,10222.0,2021-05-19T05:49:14Z,2022-08-10T23:49:52Z,777.0
Palatinate,790.0,675.0,2021-01-26T20:14:28Z,2022-08-12T16:03:42Z,115.0
Cyber Glow,8154.0,7695.0,2021-01-05T02:45:29Z,2022-06-23T19:25:05Z,459.0
Everforest,26390.0,24650.0,2021-06-27T02:19:23Z,2022-08-03T02:00:05Z,1740.0
Illusion,1480.0,,,,
Deep Work,64730.0,60977.0,2021-06-06T11:32:20Z,2022-08-04T13:59:39Z,3753.0
Obsidian Windows 98 Edition,7774.0,7230.0,2021-08-09T19:39:19Z,2022-08-26T06:41:22Z,544.0
Cidreira Coast,5255.0,4922.0,2021-04-17T02:30:08Z,2022-08-24T06:17:06Z,333.0
Hulk,2768.0,2614.0,2020-05-29T23:07:14Z,2022-04-11T05:51:02Z,154.0
Dracula for Obsidian,43450.0,40720.0,2020-05-09T15:38:01Z,2022-08-24T16:45:51Z,2730.0
Deep,2341.0,2239.0,2021-09-17T10:41:01Z,2022-05-30T17:50:07Z,102.0
Aurora,3258.0,3076.0,2021-04-20T09:39:55Z,2022-05-27T20:37:15Z,182.0
Pisum,6031.0,5722.0,2020-06-09T23:29:13Z,2022-07-25T17:54:57Z,309.0
Obsidianite,70891.0,66404.0,2020-10-30T07:47:05Z,2022-08-26T08:18:13Z,4487.0
Horizon,6255.0,5886.0,2021-01-25T18:25:25Z,2022-08-11T03:31:56Z,369.0
Mammoth,3360.0,3205.0,2020-11-08T00:04:28Z,2022-05-28T14:40:10Z,155.0
Clair de Lune,18027.0,16903.0,2020-10-19T18:21:57Z,2022-08-11T03:28:57Z,1124.0
Firefly,4443.0,4207.0,2021-09-10T12:41:41Z,2022-08-09T22:39:40Z,236.0
Discordian,12992.0,12244.0,2020-11-19T10:19:09Z,2022-08-15T13:37:17Z,748.0
Obsidian Nord,76844.0,71661.0,2020-05-13T18:39:30Z,2022-08-17T04:52:33Z,5183.0
Cybertron,35770.0,33676.0,2020-06-05T03:32:45Z,2022-08-26T10:52:43Z,2094.0
Iceberg,1838.0,1742.0,2021-05-18T14:16:37Z,2021-09-28T13:00:50Z,96.0
Dark Moss,11962.0,11203.0,2021-05-20T15:37:51Z,2022-08-25T01:01:25Z,759.0
Behave dark,2753.0,2614.0,2021-08-07T12:52:13Z,2022-05-03T14:55:32Z,139.0
Darkyan,1576.0,1504.0,2021-07-09T12:27:19Z,2022-04-10T20:51:04Z,72.0
Ayu Mirage,2023.0,1914.0,2020-08-26T12:19:31Z,2022-02-13T11:00:19Z,109.0
Comfort color dark,5838.0,5551.0,2020-05-13T01:56:19Z,2022-08-03T01:57:46Z,287.0
Charcoal,2019.0,1923.0,2020-08-26T12:14:10Z,2022-07-26T00:17:25Z,96.0
Vileplume,9477.0,8355.0,2021-03-14T22:09:41Z,2022-03-15T18:17:59Z,1122.0
Blackbird,5957.0,5618.0,2021-07-27T14:47:54Z,2022-08-11T03:32:03Z,339.0
Hipstersmoothie,3558.0,3364.0,2021-02-20T18:56:39Z,2022-04-10T20:53:38Z,194.0
Tokyo Night,7452.0,,,,
Rmaki,1914.0,1815.0,2021-05-26T12:22:02Z,2022-08-11T03:31:47Z,99.0
Panic Mode,2179.0,2067.0,2020-08-26T12:11:38Z,2022-02-13T11:00:58Z,112.0
Base2Tone,1912.0,1811.0,2020-05-12T05:02:57Z,2022-02-09T18:37:34Z,101.0
Night Owl,15536.0,14537.0,2020-12-29T17:28:31Z,2022-08-25T09:47:37Z,999.0
GDCT Dark,1535.0,1461.0,2020-08-26T12:21:24Z,2022-02-13T11:00:41Z,74.0
Comfort Smooth,4397.0,4183.0,2020-11-22T09:43:55Z,2022-08-03T01:58:08Z,214.0
Dark Graphite,2375.0,2264.0,2020-08-26T12:20:04Z,2022-02-13T11:01:57Z,111.0
Purple Owl,2827.0,2718.0,2021-07-31T18:18:31Z,2021-11-30T21:43:22Z,109.0
Emerald,4578.0,4341.0,2021-10-11T12:59:08Z,2022-01-29T11:52:32Z,237.0
Sodalite,11116.0,10563.0,2021-10-13T18:38:38Z,2022-06-14T18:59:29Z,553.0
Agora,4661.0,4425.0,2021-10-13T14:18:23Z,2022-01-20T09:36:48Z,236.0
Faded,2394.0,2317.0,2021-10-13T00:25:47Z,2022-03-17T16:38:18Z,77.0
Creature,2378.0,2298.0,2021-10-05T08:37:06Z,2022-07-30T04:09:51Z,80.0
Sanctum,49342.0,46742.0,2021-10-07T14:26:00Z,2022-08-23T20:28:24Z,2600.0
Slytherin,5438.0,5178.0,2021-10-20T01:09:38Z,2021-11-06T12:52:05Z,260.0
Cardstock,6055.0,5720.0,2021-10-22T16:53:27Z,2022-08-11T01:40:59Z,335.0
Pine Forest Berry,5269.0,4959.0,2021-10-25T10:57:53Z,2022-03-17T07:56:02Z,310.0
Ros̩ Pine Moon,2818.0,,,,
Ruby,4011.0,3785.0,2021-10-27T11:14:45Z,2022-05-30T17:51:47Z,226.0
Prism,30771.0,28305.0,2021-10-02T21:37:19Z,2022-08-18T12:25:36Z,2466.0
Golden Book,3328.0,3290.0,2021-10-22T17:13:18Z,2022-07-14T09:31:04Z,38.0
Ebullientworks,5103.0,4820.0,2021-10-17T02:24:09Z,2022-08-03T01:59:49Z,283.0
Friendly,3162.0,2995.0,2021-10-28T23:48:23Z,2022-07-27T22:15:15Z,167.0
Carnelian,2761.0,2614.0,2021-10-27T20:07:37Z,2022-05-30T17:52:33Z,147.0
Obsidian You,23913.0,22398.0,2021-09-22T04:35:46Z,2022-08-21T00:50:19Z,1515.0
