name,downloads
80s Neon,32440
AbsoluteGruv,1696
Agora,4661
Al Dente,2972
Alchemy,5159
Amethyst,5144
Aqua,1283
Ars Magna,15493
Atom,83740
Aurora,3259
Ayu,2342
Ayu Mirage,2023
Base2Tone,1912
Behave dark,2754
Big Sur Aesthetic,34258
Blackbird,5958
Blue Topaz,127264
Bubble Space,21936
California Coast,52877
Cardstock,6056
Carnelian,2761
Carpe Noctem,2755
Catppuccin,3755
Charcoal,2020
Christmas,2176
Cidreira Coast,5255
Clair de Lune,18027
Comfort Smooth,4397
Comfort color dark,5838
Creature,2378
Cyber Glow,8154
Cybertron,35771
Dark Graphite,2375
Dark Graphite Pie,4197
Dark Moss,11962
Darkyan,1576
Deep,2341
Deep Work,64733
Default,2
Discordian,12992
Dracula + LYT,3691
Dracula Official,8870
Dracula Slim,2352
Dracula for Obsidian,43453
Ebullientworks,5103
Emerald,4578
Encore,2923
Everblush,1302
Everforest,26390
Faded,2394
Firefly,4443
Friendly,3162
GDCT,1916
GDCT Dark,1535
Gastown,3019
Gitsidian,8526
Golden Book,3328
Golden Coffee,7220
Golden Topaz,10877
Harmonic,12057
Higlighter,3168
Hipstersmoothie,3558
Horizon,6255
Hulk,2768
ITS Theme,26906
Iceberg,1838
Illusion,1480
Kanagawa,1393
LYT Dracula,98
LYT Mode,10524
Lizardmen Zettelkasten,3762
Mado 11,5005
Mado Miniflow,3458
Mammoth,3361
Minimal,212396
Modern Dark,2023
Molecule,3605
Moonlight,6210
Nebula,6184
Night Owl,15537
Notation,25692
Obsdn-Dark-Rmx,6175
Obsidian Boom,2358
Obsidian Nord,76849
Obsidian Nord Enhanced,4152
Obsidian Windows 98 Edition,7776
Obsidian You,23913
Obsidian gruvbox,26648
Obsidianite,70894
Obuntu,14340
Ono Sendai,13343
Palatinate,790
Panic Mode,2179
Pine Forest Berry,5270
Pink Topaz,10999
Pisum,6031
Primary,70147
Prism,30773
Purple Aurora,3101
Purple Owl,2827
Red Graphite,15345
Red Solitude,1669
Reverie,7055
Rmaki,1914
Rosé Pine Moon,2818
Royal Velvet,4453
Ruby,4012
Sanctum,49344
Sandstorm,4374
Shimmering Focus,36965
Silence,32
Slytherin,5438
Sodalite,11118
Solarized,17998
Sparkling Wisdom,4390
Spectrum,14728
Subtlegold,3660
Suddha,3743
Terminal,19069
Theme-That-Shall-Not-Be-Named,2660
Things,130805
Tokyo Night,7452
Traffic Lights,4891
Typewriter,27490
Typomagical,12617
Ukiyo,1822
Ursa,4388
Vileplume,9479
Vintage Theme,6731
Violet Evening,1532
Viridian,2581
Warmth,2
Wasp,39705
WilcoxOne,2211
Willemstad,8577
Windows 10,2
WiseLight,2327
Wyrd,7570
Yin and Yang,84646
Zenburn,1463
obsidian_ia,9620
